0 1 2 3 4 5 6 7 8
1 1402946628 1840010593 3568588605 3724398374 2030201243 137276269 2741945545 3075098449
2 2667344187 1840010593 3568588605 890253670 1803989619 2420335967 3276208334 3613293872
3 2830133330 991718670 2730369704 1456688711 1867212306 1593928046 570977548 3513761787
4 2823659755 3366013975 2082295229 4218575083 2233968785 1456240846 2854786215 2780137450
5 3138308452 3366013975 2742477793 4161811837 3861510757 2141529712 291271786 4109063021
6 2415758382 3202304582 4119013310 3429570501 1260550007 1768823939 4119069308 959166333
7 2176932982 1840010593 540905956 2658932056 2165802669 2272318405 2079614830 995557104
8 1442727566 991718670 2427077298 3788915521 1032933267 1701732128 549950839 2756477243
9 1493432388 991718670 830110409 2792571547 1800524849 1593928046 1719959822 899191626
10 2766281617 871581320 1704881951 557817991 1911440803 1767666756 1873346446 2872027575
11 3545465674 3202304582 2688098755 873783091 1154183948 2393562709 633114838 616533849
12 1055330482 3366013975 3042801425 1210751324 3081070707 3072040826 2151128770 1070427102
13 4123376982 871581320 314421173 3156339530 1803989619 828117673 1483249410 2283731619
14 1396073108 1840010593 3568588605 4163312596 1507956486 212304699 2765835903 989542408
15 952529440 1840010593 219243593 2475194751 2165802669 2420335967 1472436333 1640780585
16 3868867713 3366013975 2742477793 760463247 3564330554 1552328576 3271251999 3371326773
17 734583778 991718670 830110409 2791093125 2977887953 375809131 2030175705 1912413473
18 2356727707 1840010593 540905956 2792571547 1934056628 828117673 1769361267 2309786054
19 849355080 3202304582 2270294843 4166859656 3337858135 2393562709 2131863455 1383158149
20 840292803 1840010593 2576424901 2213170990 2550205401 1768823939 3243949998 3070056700
21 1981601835 3366013975 3042801425 2205141244 3944625128 1768823939 635296950 1517661626
22 2869838272 991718670 830110409 473426258 2483089842 1701732128 3491526629 51612563
23 987907817 3366013975 2691368650 3502786168 1934056628 3527158273 3376601408 2612522438
24 570295446 871581320 2900703544 3792098175 4123670775 3235833853 3491742874 3457358647
25 1478621009 871581320 314421173 3174187944 1309098117 899044021 3793045331 4156840914
26 2321636405 3366013975 2742477793 2130904112 3801914392 304834076 1145595090 909568151
27 1380295268 1840010593 1258742579 2609902694 4123670775 2171235697 3193122057 3885417932
28 2272451837 991718670 2427077298 2658932056 2483089842 137276269 2647216441 1831756366
29 4124856770 3366013975 3042801425 3611880235 2030201243 1701732128 1667233926 3468675983
30 1206810331 991718670 2730369704 638105743 1159943183 375809131 3596356262 2124664514
31 1420451814 871581320 3403860181 1957061886 1246026773 3587003003 539523458 2239284493
