0 1 2 3 4 5 6 7 8
32 1657734965 991718670 2730369704 218528062 3944625128 2420335967 934614290 1724518688
33 3424011583 3202304582 2486553972 1783959277 2977887953 1999800809 2225119703 3500151239
34 2922854640 1840010593 3568588605 213804048 744636978 212304699 1944137448 4036129864
35 3774804778 991718670 830110409 1081681529 2233968785 828117673 2227344988 3022736820
36 3650388510 3202304582 2688098755 1134058345 1309098117 3117572384 3694829922 3726592485
37 3863015646 991718670 1661716578 3990429260 2550205401 212304699 4029240182 4253511850
38 2013426945 991718670 830110409 455769809 1338518310 2435258596 1856485150 3669960426
39 339423082 871581320 3403860181 421237852 1154183948 3527158273 993150742 116798473
40 3973617516 3202304582 2688098755 297931443 1728475597 304834076 2964053916 1596052054
41 2399823462 3202304582 2270294843 3541806321 2030201243 2491033788 2777309688 2686281177
42 896349058 871581320 2900703544 3502786168 2165802669 375809131 620048033 2814247641
43 3072366785 991718670 2427077298 2362536820 4012708477 1593928046 3193305396 3193683362
44 3803693390 991718670 1661716578 651477032 2550205401 651381559 2504727958 2482500421
45 3729441455 991718670 830110409 3049657320 425205287 4287132585 1901731086 3626347133
46 1978893663 1840010593 540905956 4161811837 2165802669 1593928046 3751374113 3943635680
47 3261528043 991718670 1661716578 3064083260 2233968785 828117673 935565369 2480248554
48 3005334685 871581320 3403860181 1947026661 1728475597 3072040826 3062056076 3589318659
49 2868365387 3202304582 4119013310 2205141244 3944625128 1456240846 553550620 3304142438
50 3067698125 3366013975 3042801425 2609902694 3081070707 2903786575 1940333209 3695859374
51 1246503004 991718670 1661716578 1120887424 2263155017 828117673 3731947259 2405613943
52 3098990158 3366013975 2691368650 4274325470 3081070707 1593928046 2522725798 1839230586
53 1022640056 3202304582 2270294843 1120887424 3801914392 1768823939 3130459239 334298996
54 3840415567 3202304582 3940361514 3740968732 2483089842 1593928046 3186112439 1224416615
55 1914916854 3202304582 2270294843 3491142029 425205287 1768823939 1363302205 663476956
56 3317233451 1840010593 2576424901 3792098175 4123670775 1519712150 1163618912 3633145067
57 2111290438 3366013975 2742477793 4092182615 236444362 2171235697 263014327 1559397323
58 1977442694 871581320 3403860181 4161811837 1911440803 189283091 1421238106 2780433989
59 3240062394 871581320 3403860181 3387497044 3564330554 3587003003 2895261772 3997047817
60 87838796 1840010593 540905956 1222175066 1728475597 3072040826 3653632780 3057985617
61 994539081 871581320 1704881951 3720539377 1321818527 1519712150 1781634420 3097088221
62 902133454 3366013975 2691368650 3886026016 194087235 212304699 1976870171 4137185228
63 388563932 3366013975 2742477793 873783091 1246026773 3117572384 3920436811 4120021115
64 2580464569 3202304582 3940361514 1081681529 1803989619 3117572384 2567173165 2290133143
65 3317166197 871581320 3403860181 1973448797 1309098117 4099911734 283185383 1177980091
66 3180869855 3366013975 2691368650 3939198976 637275760 304834076 571641863 818063332
67 1880148210 3202304582 3940361514 3348058087 3944625128 1519712150 63308823 3028433865
68 2167242515 1840010593 540905956 824985840 1246026773 2393562709 2922314626 1612912416
69 862934343 871581320 2900703544 604841704 3564330554 4032210998 2267782508 3667297926
70 1024253797 1840010593 540905956 1947026661 1934056628 189283091 3173885662 620194454
71 1687333963 3366013975 3042801425 3660121902 1604078256 1519712150 1287823649 3675757571
72 1317048102 3202304582 2270294843 2089339864 3081070707 828117673 1505826608 2212216586
73 1057264567 3202304582 3940361514 2712883771 2668888666 1519712150 3562543172 3349771982
74 2505717472 871581320 314421173 455769809 3081070707 3072040826 1914204775 660363084
75 1426611444 3366013975 2691368650 3720539377 194087235 2435258596 425908075 2849461337
76 2911801534 3366013975 2082295229 1973448797 425205287 2141529712 1016449737 2458571779
77 1851017185 871581320 2900703544 3174187944 1071358815 2171235697 733817896 3380183516
78 4036939406 1840010593 1258742579 4170895274 3258277993 2540639236 1638918590 3695341738
79 2100972635 991718670 1661716578 884794589 2019507911 899044021 2117084785 1760637545
80 2778190691 991718670 2427077298 1944651584 1507956486 4099911734 3499663912 2561473674
81 1159081783 871581320 3403860181 4117702576 1867212306 1768823939 3089345082 3200302090
82 2777222613 1840010593 219243593 301486500 1800524849 2393562709 3849512274 2652015047
83 3673660145 1840010593 2576424901 3850749598 826839126 1705802412 472250052 1902823610
84 3904282335 991718670 1661716578 4166859656 1604078256 828117673 2844844640 1844820944
85 1252556929 871581320 314421173 3939198976 2977887953 3587003003 438679543 2689811347
86 1614662587 991718670 2427077298 883685145 2053223735 2420335967 3439960974 1644619096
87 2470960418 991718670 1836822933 4129618912 1032933267 4220433109 3008476379 696116964
88 3600714899 991718670 2427077298 3611880235 2977887953 304834076 1885050873 2681299631
89 2227886694 871581320 3403860181 3232367792 2030201243 891717711 948479956 3977127316
90 2233572010 871581320 2813347189 4170895274 236444362 3117572384 1305916851 625685170
91 1753040375 3202304582 3940361514 1957061886 3801914392 137276269 3989109607 4118812813
92 862685679 3202304582 2486553972 2089339864 2668888666 137276269 3155021074 2646983246
93 4077513364 3202304582 4119013310 2609902694 3564330554 1519712150 1688525604 3367447094
94 2852070843 3366013975 2691368650 1456688711 3801914392 4032210998 4199356388 1249877217
95 2266317300 3366013975 3042801425 90165618 1990527111 1519712150 1337636577 3356247362
96 3457697761 871581320 3403860181 1947026661 3801914392 304834076 1956378815 4288332735
97 4031392761 3366013975 3042801425 604841704 236444362 2942552479 1794727432 2562437391
98 3255202889 871581320 1704881951 2826266200 2019507911 891717711 617048757 1608901438
99 3757145098 3202304582 3940361514 2792571547 1338518310 137276269 679430271 2217724766
100 2862453219 3366013975 3042801425 3541806321 1260550007 3587003003 3609932069 531598961
